rssi,rf power
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-25.6,-34.481395905274574
-27.25,-33.38565857238728
-25.5,-34.1130794699488
-24.0,-39.977664695317856
-26.25,-40.21830655289391
-23.75,-40.157873702057394
-24.25,-39.99996796126668
-27.75,-37.256524685249325
-27.75,-36.08382702772845
-24.75,-37.92092878474933
-25.0,-38.17504971716484
-24.75,-35.99476012159443
-24.0,-36.07401330817102
-25.8,-39.55186467063865
-24.0,-40.655102615658656
-25.0,-41.04691516231048
-24.25,-38.3351685092432
-24.25,-36.50346705670373
-23.75,-40.244882765634394
-23.75,-39.70819747804073
-25.75,-39.95703701547419
-23.5,-40.60951404135481
-24.4,-40.218926303474014
-26.0,-40.815477714898066
-24.8,-40.95030696737513
-26.25,-40.43804207076283
-23.8,-41.17079673578557
-26.2,-38.68824591724024
-26.25,-36.14176975947131
-27.25,-38.51021645990103
-24.25,-40.91812914795238
-24.0,-39.638257389943085
-22.75,-40.618034548675936
-23.75,-40.78469990534974
-25.25,-40.89737653448159
-26.5,-39.725378956512415
-24.6,-40.09613416643934
-26.0,-41.31733045420695
-24.2,-41.13285350848652
-26.4,-41.54900301443728
-26.4,-41.00056593444382
-24.8,-39.33098610680962
-27.2,-36.72257442486112
-24.6,-36.258177128759876
-23.2,-38.91423099134661
-25.6,-36.384460507692474
-24.0,-37.07814182915653
-25.75,-38.924960787540755
-27.0,-39.669753328818615
-25.0,-40.267349436068365
-26.75,-41.06283054868472
-24.0,-40.905306071901485
-26.5,-41.426772499122464
-25.2,-41.06914145465234
-25.2,-40.785744109677715
-24.4,-38.81245118503437
-25.25,-39.07265821899071
-27.25,-39.99366627690787
-24.0,-40.42516005520744
-26.8,-41.02698380414329
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
-26.8,-41.32191183798683
